name,kind,mass_msun,q1_kms2,rt_kpc,x_kpc,y_kpc,z_kpc,scale_kpc,diffuseness,overlap,eta_eff
BCG,galaxy,1897327400000.0005,173826.78654397154,46.94452205498132,0.0,0.0,0.0,11.0,0.23431913924092834,0.06262431599931371,0.3518344451880604
GAL_01,galaxy,58167205568.85426,30435.79585551806,8.219641622603696,39.73123158906235,-4.5713361619150925,35.688695082227525,4.15085294298536,0.5049919611544468,0.06463769425218939,0.49256003096398865
GAL_02,galaxy,163630290951.7825,51047.84508488933,13.786233624244415,39.755708572245325,95.60682922608511,22.12280020971222,5.089055021253348,0.3691403439082706,0.05190709793113899,0.41295417740623924
GAL_03,galaxy,129560537419.3871,45423.63994931537,12.26733295721803,55.38311460680853,74.57751468407659,-118.46621936427847,4.846681029885499,0.3950884064847803,0.024907071086637745,0.38690847535099954
GAL_04,galaxy,126755214149.39014,44929.178617919555,12.1337962835065,56.35683001242977,13.422142499705709,-184.5449840317257,4.8249540600756955,0.3976458766358446,0.017605733280070767,0.3769204082629953
GAL_05,galaxy,70588438714.18369,33528.363050530425,9.054835621061724,98.15831889199566,152.94077019697366,-150.93160449445037,4.301601328947447,0.47506122794121614,0.018123373201292113,0.4205146445863482
GAL_06,galaxy,140964650342.67337,47380.61260085036,12.795842674434372,72.10336344360772,-83.83728564705879,-257.013410644541,4.931986217175219,0.3854366095817314,0.011709405448397384,0.3599917167060892
GAL_07,galaxy,154274655210.70065,49567.02513146423,13.386316060644766,-112.88421535380824,-108.70034054838965,-284.26472721079966,5.026052458651566,0.3754619595026565,0.010003117250807434,0.3509290461322073
GAL_08,galaxy,79463871214.66917,35573.813317313055,9.607240040831945,41.09146745546606,207.3599308163271,-304.90101989082353,4.399013818176281,0.45788528229542863,0.008394053489214803,0.3970926906351566
GAL_09,galaxy,111561373111.53499,42150.47642945369,11.383366221695152,-182.7225202381535,-204.44627891861097,317.2385338561992,4.701488952147273,0.41301394162184407,0.03162043756158702,0.40700278964895165
GAL_10,galaxy,238024729426.36224,61568.22064551069,16.627418302115363,179.82947258795946,-322.4939475296481,290.38602253403997,5.52201398432903,0.33210290882178095,0.038446275907630154,0.3715523961865197
GAL_11,galaxy,113147595299.35658,42449.07456186599,11.464007110773888,354.82788597403857,232.3151466882298,305.23898670200026,4.714871090463606,0.41127600889505417,0.02905598982315256,0.4022719473213507
GAL_12,galaxy,83347038278.00735,36432.640490233025,9.839179156558275,-2.3010601538874274,-135.64269870745972,561.7352103406479,4.439410608382108,0.45119725311872505,0.011515950844701599,0.3980767276814183
GAL_13,galaxy,204447955932.55988,57060.68077241401,15.410089781043226,-87.77781875584483,47.95332740207665,-628.0865391450494,5.339468247700022,0.3464917027458456,0.004030295629636022,0.32156254152427444
GAL_14,galaxy,96439682081.2506,39189.83611806583,10.583801050192335,375.61128422166985,-512.026304609271,287.53931863810186,4.56721869951482,0.4315291526981057,0.009017683653196953,0.3831049852782362
GAL_15,galaxy,123596623678.9995,44365.85606972623,11.981662608866888,-179.91432649591675,-413.14089792296073,613.6858456884335,4.800113661582931,0.4006216681506842,0.004474186407611957,0.35726931756000196
GAL_16,galaxy,78593346210.01848,35378.42153453811,9.554471569192964,394.0886730941133,562.8945968902077,-463.8023168501858,4.389782468994389,0.45944795975411334,0.010796252214069579,0.40155514410950865
GAL_17,galaxy,76725727332.2081,34955.54433132473,9.440267259330874,320.0825888126022,-164.00914904362102,825.3269056370818,4.369750932845273,0.46288423969418435,0.0014632849156473971,0.3893436592951244
GAL_18,galaxy,101057625080.24745,40117.15313544883,10.834236872196577,-49.241412170916504,-406.3065326971422,-885.3729331769304,4.609591497594899,0.4254652682944647,0.0066833445672534785,0.3758749934834717
GAL_19,galaxy,38571319802.94642,24784.365899454362,6.693388485849639,-120.51554815354645,-1036.5432365225447,-152.27213326343232,3.8627986854428737,0.5771066020759351,0.0023697747621598013,0.4500036759533555
