name,kind,mass_msun,q1_kms2,rt_kpc,x_kpc,y_kpc,z_kpc,scale_kpc,diffuseness,overlap,eta_eff
BCG,galaxy,1897327400000.0005,173826.78654397154,46.94452205498132,0.0,0.0,0.0,11.0,0.23431913924092834,0.06276615752034063,0.35207514880280444
GAL_01,galaxy,124811217192.9118,44583.31646343822,12.040391038769233,5.793252856534323,-52.26335457202708,-10.398597250590177,4.809713993713676,0.39946493251147136,0.05168196261259208,0.4283956966722061
GAL_02,galaxy,88978375920.67665,37643.309600693115,10.166138446822217,-51.54485823816218,92.38371525233684,-4.356282044227032,4.495875477626354,0.44224023715038996,0.04254984151365431,0.43742444308557776
GAL_03,galaxy,48539335403.120094,27803.05220807009,7.508629846570726,-134.78571458766757,59.427400067919635,-31.056971435237237,4.018859923741839,0.5352321270141311,0.033167924060837864,0.46910213014862345
GAL_04,galaxy,98286578104.25935,39563.3146411682,10.684664508082964,142.36943733894628,-49.797126902673305,-121.09618818787445,4.584320206386873,0.4290560740506946,0.022685805716148588,0.40255634621688896
GAL_05,galaxy,506332439417.6039,89797.33307060476,24.251112079007164,-138.96027636017303,-8.198768800476989,-190.86410289909435,6.5869695941465745,0.2716151561498306,0.018298806827346865,0.29647980284169134
GAL_06,galaxy,27273248360.395023,20840.78129205933,5.628364514238049,38.49809913558565,-228.36102147334088,157.01152496006765,3.649989769862106,0.6484991795802747,0.05132346018411383,0.5329693702745834
GAL_07,galaxy,88967506206.16267,37641.010252556574,10.165517473487474,308.5184616247444,-12.947901818316865,100.06875597715562,4.495768758597373,0.4422567538074394,0.033141712255724425,0.424592672230357
GAL_08,galaxy,59330970452.25713,30738.75605356743,8.301460552711529,-246.994633309839,-275.3695362561827,-28.575359218267472,4.165817488184135,0.5018174165536983,0.021730687146246583,0.4389829701029341
GAL_09,galaxy,137219581254.70943,46746.985150913395,12.624722110166891,-379.1615305306982,166.66499638132368,-65.46297026496343,4.904483939464683,0.3884825263215119,0.019401797165739053,0.3743874174060599
GAL_10,galaxy,99951296721.47644,39896.95756061462,10.77476976574691,108.3149766807348,-364.3113945998992,276.0617704047186,4.599556729994462,0.4268821357665102,0.03234218590571498,0.4154585384179331
GAL_11,galaxy,51301681716.04753,28583.233907218535,7.719329576518861,-31.441584737429466,441.8756573508785,-277.13052022173775,4.058350876286066,0.525738775117338,0.008928640358199761,0.4336473975010917
GAL_12,galaxy,19618532219.985863,17675.78939692328,4.773611142913044,574.505924723436,-44.827670247128005,-43.40628485381969,3.4703022681737288,0.7269763213381505,0.019966580169712346,0.5307145102147939
GAL_13,galaxy,36284574909.85534,24038.456707982703,6.491944558902301,27.434388566999985,583.8623852011658,250.69750138529645,3.8233752763857636,0.5889414553213997,0.010864113368746244,0.4660951272169283
GAL_14,galaxy,127665576706.02641,45090.23181381451,12.177291106468113,-460.31497665908495,-478.57534018759725,-212.15418741333804,4.832038688567476,0.3968073561123033,0.01086706459473258,0.36553110847916004
GAL_15,galaxy,106832143636.17816,41247.395768497314,11.139475790027017,157.28967435475346,415.26263976810935,-618.4511152610158,4.660841637966358,0.41840762759582734,0.005262892708635508,0.3693942638744692
GAL_16,galaxy,53863874541.70185,29288.31301164238,7.909746728134092,-153.30976993032556,-574.8310306569078,577.351019071324,4.093762920708684,0.517559292530521,0.003536124890071345,0.42205618902221
GAL_17,galaxy,50690272982.51531,28412.39719851853,7.673192569681086,-880.6932091615704,157.6629350883018,-100.19099777678078,4.049731467614167,0.5277765976597252,0.004105779209778062,0.4280886238776965
